Log Template,Number of Occurrences
"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total disk: 15 GB, used: 0.00 GB",1
"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] <*> limit not specified, defaulting to unlimited",2
"[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Claim successful,1
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Creating image,1
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] VM <*> (Lifecycle Event),5
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:d1ce4c5a-2811-41c3-8a5a-39f9e6defcb8 for instance b562ef10-ba2d-48ae-bf4a-18666cba4a51,1
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Instance <*> successfully.,2
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 20.14 seconds to build instance.,1
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Terminating instance,1
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Deleting instance files /var/lib/nova/instances/b562ef10-ba2d-48ae-bf4a-18666cba4a51_del,1
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Deletion of /var/lib/nova/instances/b562ef10-ba2d-48ae-bf4a-18666cba4a51_del complete,1
[instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Took 0.45 seconds to deallocate network for instance.,1
Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,9
"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total disk: 15 GB, used: 0.00 GB",1
"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] <*> limit not specified, defaulting to unlimited",2
"[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Claim successful,1
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Creating image,1
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] VM <*> (Lifecycle Event),5
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:b26c4935-6377-4e96-9ba1-ec6985d42d5d for instance 78dc1847-8848-49cc-933e-9239b12c9dcf,1
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Instance <*> successfully.,2
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Took 21.25 seconds to build instance.,1
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Terminating instance,1
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Deleting instance files /var/lib/nova/instances/78dc1847-8848-49cc-933e-9239b12c9dcf_del,1
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Deletion of /var/lib/nova/instances/78dc1847-8848-49cc-933e-9239b12c9dcf_del complete,1
[instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Took 0.48 seconds to deallocate network for instance.,1
"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Total disk: 15 GB, used: 0.00 GB",1
"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] <*> limit not specified, defaulting to unlimited",2
"[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Claim successful,1
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Creating image,1
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] VM <*> (Lifecycle Event),5
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:1cf11429-1563-4f6c-823c-91ba6e0f6675 for instance 95960536-049b-41f6-9049-05fc479b6a7c,1
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Instance <*> successfully.,2
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Took 20.72 seconds to build instance.,1
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Terminating instance,1
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Deleting instance files /var/lib/nova/instances/95960536-049b-41f6-9049-05fc479b6a7c_del,1
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Deletion of /var/lib/nova/instances/95960536-049b-41f6-9049-05fc479b6a7c_del complete,1
[instance: 95960536-049b-41f6-9049-05fc479b6a7c] Took 0.46 seconds to deallocate network for instance.,1
"[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Total disk: 15 GB, used: 0.00 GB",1
"[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] <*> limit not specified, defaulting to unlimited",2
"[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Claim successful,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Creating image,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] VM <*> (Lifecycle Event),5
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:85754923-baff-45ad-9e35-a3055c898234 for instance 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Instance <*> successfully.,2
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Took 19.92 seconds to build instance.,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Terminating instance,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Deleting instance files /var/lib/nova/instances/7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5_del,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Deletion of /var/lib/nova/instances/7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5_del complete,1
[instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Took 0.54 seconds to deallocate network for instance.,1
"[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Total disk: 15 GB, used: 0.00 GB",1
"[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] <*> limit not specified, defaulting to unlimited",2
"[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Claim successful,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Creating image,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] VM <*> (Lifecycle Event),5
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:7bdba89d-dd80-489c-ab06-11d494c5c478 for instance af5f7392-f7d4-4298-b647-c98924c64aa1,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Instance <*> successfully.,2
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Took 21.11 seconds to build instance.,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Terminating instance,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Deleting instance files /var/lib/nova/instances/af5f7392-f7d4-4298-b647-c98924c64aa1_del,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Deletion of /var/lib/nova/instances/af5f7392-f7d4-4298-b647-c98924c64aa1_del complete,1
[instance: af5f7392-f7d4-4298-b647-c98924c64aa1] Took 0.48 seconds to deallocate network for instance.,1
"[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Total disk: 15 GB, used: 0.00 GB",1
"[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] <*> limit not specified, defaulting to unlimited",2
"[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Claim successful,1
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Creating image,1
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] VM <*> (Lifecycle Event),5
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] During sync_power_state the instance has a pending task (spawning). Skip.,2
The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,5
Creating event network-vif-plugged:98dbd0a6-013e-4cd9-9986-fa32e5d6dd32 for instance ae3a1b5d-eec1-45bb-b76a-c59d83b1471f,1
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Instance <*> successfully.,2
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Took 20.89 seconds to build instance.,1
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Terminating instance,1
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Deleting instance files /var/lib/nova/instances/ae3a1b5d-eec1-45bb-b76a-c59d83b1471f_del,1
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Deletion of /var/lib/nova/instances/ae3a1b5d-eec1-45bb-b76a-c59d83b1471f_del complete,1
[instance: ae3a1b5d-eec1-45bb-b76a-c59d83b1471f] Took 0.45 seconds to deallocate network for instance.,1
"[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Total disk: 15 GB, used: 0.00 GB",1
"[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] <*> limit not specified, defaulting to unlimited",2
"[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Claim successful,1
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Creating image,1
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] VM <*> (Lifecycle Event),5
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:60df1c66-a513-4973-aeed-095809a52794 for instance 43204226-2f87-4da7-b7ee-4d20cc66e846,1
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Instance <*> successfully.,2
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Took 20.14 seconds to build instance.,1
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Terminating instance,1
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Deleting instance files /var/lib/nova/instances/43204226-2f87-4da7-b7ee-4d20cc66e846_del,1
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Deletion of /var/lib/nova/instances/43204226-2f87-4da7-b7ee-4d20cc66e846_del complete,1
[instance: 43204226-2f87-4da7-b7ee-4d20cc66e846] Took 0.46 seconds to deallocate network for instance.,1
"[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Total disk: 15 GB, used: 0.00 GB",1
"[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] <*> limit not specified, defaulting to unlimited",2
"[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Claim successful,1
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Creating image,1
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] VM <*> (Lifecycle Event),5
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:8b683414-2896-4251-aa05-980752c9b9b3 for instance fecdd5a9-3ca0-4c82-9336-63b7774f738e,1
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Instance <*> successfully.,2
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Took 21.11 seconds to build instance.,1
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Terminating instance,1
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Deleting instance files /var/lib/nova/instances/fecdd5a9-3ca0-4c82-9336-63b7774f738e_del,1
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Deletion of /var/lib/nova/instances/fecdd5a9-3ca0-4c82-9336-63b7774f738e_del complete,1
[instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Took 0.54 seconds to deallocate network for instance.,1
"[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Total disk: 15 GB, used: 0.00 GB",1
"[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] <*> limit not specified, defaulting to unlimited",2
"[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Claim successful,1
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Creating image,1
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] VM <*> (Lifecycle Event),5
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:e1bf6353-ae58-4e46-b2d1-65a69b992bed for instance 63a0d960-70b6-44c6-b606-491478a5cadf,1
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Instance <*> successfully.,2
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Took 20.80 seconds to build instance.,1
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Terminating instance,1
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Deleting instance files /var/lib/nova/instances/63a0d960-70b6-44c6-b606-491478a5cadf_del,1
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Deletion of /var/lib/nova/instances/63a0d960-70b6-44c6-b606-491478a5cadf_del complete,1
[instance: 63a0d960-70b6-44c6-b606-491478a5cadf] Took 0.46 seconds to deallocate network for instance.,1
"[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Total disk: 15 GB, used: 0.00 GB",1
"[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] <*> limit not specified, defaulting to unlimited",2
"[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Claim successful,1
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Creating image,1
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] VM <*> (Lifecycle Event),5
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] During sync_power_state the instance has a pending task (spawning). Skip.,1
Creating event network-vif-plugged:f53e6f35-05f7-4896-9abf-6df58d3e69b8 for instance d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c,1
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Instance <*> successfully.,2
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Took 20.23 seconds to build instance.,1
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Terminating instance,1
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Deleting instance files /var/lib/nova/instances/d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c_del,1
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Deletion of /var/lib/nova/instances/d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c_del complete,1
[instance: d54b44eb-2d1a-4aa2-ba6b-074d35f8f12c] Took 0.47 seconds to deallocate network for instance.,1
"[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",1
"[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Total memory: 64172 MB, used: 512.00 MB",1
"[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] memory limit: 96258.00 MB, free: 95746.00 MB",1
"[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Total disk: 15 GB, used: 0.00 GB",1
"[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] <*> limit not specified, defaulting to unlimited",2
"[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Total vcpu: 16 VCPU, used: 0.00 VCPU",1
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Claim successful,1
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Creating image,1
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] VM <*> (Lifecycle Event),5
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] During sync_power_state the instance has a pending task (spawning). Skip.,2
Creating event network-vif-plugged:899a49ed-0154-4308-949e-f59ac7acc66d for instance 17288ea8-cbf4-4f0e-94fe-853fd2735f29,1
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Instance <*> successfully.,2
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Took <*> seconds to <*> the instance on the hypervisor.,2
[instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Took 19.79 seconds to build instance.,1
