Log Template,Number of Occurrences
yarn.client.max-cached-nodemanagers-proxies : 0,1
job_1445144423722_0020Job Transitioned from INITED to SETUP,1
Processing the event EventType: JOB_SETUP,1
job_1445144423722_0020Job Transitioned from SETUP to RUNNING,1
Resolved <*> to /default-rack,39
<*> Task Transitioned from NEW to SCHEDULED,11
<*> TaskAttempt Transitioned from NEW to UNASSIGNED,13
"mapResourceRequest:<memory:1024, vCores:1>",1
"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist",1
"reduceResourceRequest:<memory:1024, vCores:1>",1
<*> Scheduling: <*> <*> <*> <*> AssignedReds:0 <*> CompletedReds:0 <*> <*> <*> <*>,17
getResources() for application_1445144423722_0020: <*> release= <*> <*> <*> <*> <*> knownNMs=4,12
"Recalculating schedule, <*> <*>",131
Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,130
Got allocated containers <*>,10
Assigned container <*> to <*>,10
The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,1
The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml,1
Adding #0 tokens and #1 secret keys for NM use for launching container,1
Size of containertokens_dob is 1,1
Putting shuffle token in serviceData,1
<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
Processing the event EventType: <*> for container <*> taskAttempt <*>,13
Launching <*>,10
Opening proxy : 04DN8IQ.fareast.corp.microsoft.com:54883,1
Shuffle port returned by ContainerManager for <*> : 13562,10
TaskAttempt: [attempt_1445144423722_0020_m_000000_0] using containerId: [container_1445144423722_0020_01_000002 on NM: [04DN8IQ.fareast.corp.microsoft.com:54883],1
<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,10
ATTEMPT_START <*>,10
<*> Task Transitioned from SCHEDULED to RUNNING,10
Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,4
TaskAttempt: <*> using containerId: <*> on NM: <*>,9
Auth successful for job_1445144423722_0020 (auth:SIMPLE),10
JVM with ID : <*> asked for a task,10
JVM with ID: <*> given task: <*>,10
Progress of TaskAttempt <*> is : <*>,289
Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:7109,6
Opening proxy : MSRA-SA-39.fareast.corp.microsoft.com:28345,2
"Cannot assign container Container: [ContainerId: container_1445144423722_0020_01_000012, NodeId: MSRA-SA-39.fareast.corp.microsoft.com:28345, NodeHttpAddress: MSRA-SA-39.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: 172.22.149.145:28345 }, ] for a map as either  container memory less than required <memory:1024, vCores:1> or no pending map tasks - maps.isEmpty=true",1
Received completed container <*>,2
Container complete event for unknown container id container_1445144423722_0020_01_000012,1
Done acknowledgement from attempt_1445144423722_0020_m_000003_0,1
<*> TaskAttempt Transitioned from <*> to <*>,4
KILLING <*>,3
attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED,1
Task succeeded with attempt attempt_1445144423722_0020_m_000003_0,1
task_1445144423722_0020_m_000003 Task Transitioned from RUNNING to SUCCEEDED,1
Num completed Tasks: 1,1
Reduce slow start threshold reached. Scheduling reduces.,1
All maps assigned. Ramping up all remaining reduces:1,1
DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445144423722_0020_m_000000,1
We launched 1 speculations.  Sleeping 15000 milliseconds.,1
Scheduling a redundant attempt for task task_1445144423722_0020_m_000000,1
Diagnostics report from attempt_1445144423722_0020_m_000003_0: Container killed by the ApplicationMaster.,1
Address change detected. Old: <*> New: <*>,476
Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for <*> seconds. Will retry shortly ...,326
"Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]",1
DFSOutputStream ResponseProcessor exception  for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731,1
"Error Recovery for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731 in pipeline 10.86.169.121:50010, 10.190.173.170:50010: bad datanode 10.190.173.170:50010",1
DataStreamer Exception,1
ERROR IN CONTACTING RM.,147
"Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)",146
<*> <*> <*> <*> <*> java.net.NoRouteToHostException: No Route to Host from MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,6
<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP,2
Processing the event EventType: TASK_ABORT,2
Task cleanup failed for attempt <*>,2
<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED,2
Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d,1
"Thread Thread[eventHandlingThread,5,main] threw an Exception.",1
<*> failures on node MININT-FNANLI5.fareast.corp.microsoft.com,2
Added <*> to list of failed maps,2
